"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"finalfit","finalfit","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.2",NA,NA,"bdsmatrix, boot, broom, dplyr, forcats, GGally, ggplot2, grid,
gridExtra, lme4, magrittr, mice, pillar, pROC, purrr, scales,
stats, stringr, survival, tidyr (>= 1.0.0)",NA,"cmprsk, coxme, knitr, readr, rlang, rmarkdown, rstan, survey,
survminer, testthat, tibble",NA,"MIT + file LICENCE",NA,NA,NA,NA,"no","4.0.3"
"FinCal","FinCal","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.6.3",NA,NA,"ggplot2, reshape2, RCurl",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"FinCovRegularization","FinCovRegularization","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1.0",NA,"R (>= 2.10)","stats, graphics, quadprog",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"fivethirtyeight","fivethirtyeight","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.6.1",NA,"R (>= 3.2.4)",NA,NA,"ggplot2, dplyr, tidyr (>= 1.0.0), readr, tibble, stringr,
broom, knitr, rmarkdown, patchwork, fivethirtyeightdata",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"fixest","fixest","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.8.3",NA,"R(>= 3.1.0)","stats, graphics, grDevices, utils, methods, numDeriv, nlme,
sandwich, Rcpp, dreamerr(>= 1.2.3)","Rcpp","knitr, rmarkdown, data.table, plm, MASS, pander",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.4"
"flexclust","flexclust","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.4-0",NA,"R (>= 2.14.0), graphics, grid, lattice, modeltools","methods, parallel, stats, stats4, class",NA,"ellipse, clue, cluster, seriation, skmeans",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"flexdashboard","flexdashboard","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.5.2",NA,"R (>= 3.0.2)","tools, jsonlite, htmltools, knitr (>= 1.13), htmlwidgets (>=
0.6), rmarkdown (>= 1.10.3), shiny (>= 0.13)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"flexmix","flexmix","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.3-17",NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"flexpolyline","flexpolyline","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.1",NA,NA,"Rcpp, sf (>= 0.9-3)","Rcpp","testthat (>= 2.3.2), stringr (>= 1.4.0), knitr (>= 1.28),
rmarkdown (>= 2.1), covr (>= 3.5.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"flextable","flextable","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.6.4",NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.3.17),
rmarkdown, knitr, htmltools, xml2, data.table (>= 1.13.0), uuid
(>= 0.1-4), gdtools (>= 0.1.6), rlang, base64enc",NA,"testthat (>= 2.1.0), xtable, webshot, magick, ggplot2,
scales, broom, mgcv, bookdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.4"
"float","float","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2-4",NA,"R (>= 3.6.0), methods","utils, tools",NA,NA,NA,"BSD 2-clause License + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"flowr","flowr","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.9.11",NA,"R (>= 3.3), methods, params (>= 0.7), utils","diagram, whisker, tools, readr",NA,"reshape2, knitr, testthat, funr, rmarkdown","ggplot2, openxlsx, pacman, cowplot","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.4"
"fma","fma","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.4",NA,"R (>= 2.0.0), forecast (>= 8.1)",NA,NA,"knitr, rmarkdown, tidyverse",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"fMultivar","fMultivar","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","3042.80.1",NA,"R (>= 2.15.1), timeDate, timeSeries, fBasics","cubature, mvtnorm, sn, methods, grDevices, graphics, stats",NA,"spatial, RUnit, tcltk, akima",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"FNN","FNN","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1.3",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"forcats","forcats","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"foreach","foreach","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.5.1",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.3"
"forecast","forecast","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","8.14",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","forecTheta, knitr, methods, rmarkdown, rticles, seasonal,
testthat, uroot",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.4"
"foreign","foreign","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.8-81","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"forge","forge","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.0",NA,"R (>= 3.1.2)","rlang (>= 0.3.1), magrittr",NA,"testthat, covr",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.3"
"formatR","formatR","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.8",NA,"R (>= 3.2.3)",NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.0.4"
"Formula","Formula","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"formula.tools","formula.tools","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.7.1",NA,"R (>= 3.0.0)","operator.tools(>= 1.4.0), utils, methods",NA,"magrittr, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"fPortfolio","fPortfolio","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","3042.83.1",NA,"R (>= 2.15.1), timeDate, timeSeries, fBasics, fAssets","fCopulae, robustbase, MASS, Rglpk, slam, Rsolnp, quadprog,
kernlab, rneos, methods, grDevices, graphics, stats, utils",NA,"Rsocp, Rnlminb2, Rdonlp2, Rsymphony, dplR, bcp, fGarch,
mvoutlier",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"fracdiff","fracdiff","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.5-1",NA,NA,"stats",NA,"longmemo, forecast, urca",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"fredr","fredr","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.1.0",NA,"R (>= 3.2.2)","httr, jsonlite, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, purrr, rmarkdown, testthat, xts,
zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"fresh","fresh","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.0",NA,NA,"sass, htmltools, shiny, rstudioapi",NA,"shinyWidgets, shinydashboard, bs4Dash, knitr, rmarkdown,
testthat (>= 2.1.0), covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.4"
"frm","frm","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.2",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"frmqa","frmqa","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1-5",NA,"partitions, Rmpfr",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.3"
"frontier","frontier","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1-8",NA,"R (>= 2.15.0), micEcon (>= 0.6-14), lmtest (>= 0.9-24)","moments (>= 0.11), stats (>= 2.15.0), Formula (>= 0.2-0),
miscTools (>= 0.6-1), plm (>= 1.0-1)",NA,"MCMCpack (>= 1.0-8), fdrtool (>= 1.2.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"frontiles","frontiles","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2",NA,"R (>= 2.8.1), classInt, colorspace, methods, rgl, sp",NA,NA,"ggplot2",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"fs","fs","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.5.0",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"fst","fst","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.9.4",NA,"R (>= 3.0.0)","Rcpp","Rcpp","testthat, bit64, data.table, lintr, nanotime, crayon",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"funModeling","funModeling","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.9.4",NA,"R (>= 3.4.0), Hmisc (>= 3.17.1)","ROCR, ggplot2, gridExtra, pander, reshape2, scales, dplyr,
lazyeval, utils, RColorBrewer, moments, entropy, cli, stringr",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"furrr","furrr","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.2",NA,"future (>= 1.19.1), R (>= 3.2.0)","ellipsis, globals (>= 0.13.1), lifecycle (>= 0.2.0), purrr (>=
0.3.0), rlang (>= 0.3.0), vctrs (>= 0.3.2)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), withr, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"futile.logger","futile.logger","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.0.3"
"futile.options","futile.options","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.0.3"
"future","future","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.21.0",NA,NA,"digest, globals (>= 0.13.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.21.0), tools, utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
"future.apply","future.apply","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.7.0",NA,"R (>= 3.2.0), future (>= 1.17.0)","globals (>= 0.12.5), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"fuzzyjoin","fuzzyjoin","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.6",NA,"R (>= 2.10)","stringdist, stringr, dplyr (>= 0.8.1), tidyr (>= 0.4.0),
purrr, geosphere, tibble",NA,"testthat, knitr, ggplot2, qdapDictionaries, readr, rvest,
rmarkdown, maps, IRanges, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"fxregime","fxregime","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0-4",NA,"R (>= 3.0.0), zoo, strucchange","graphics, stats, car, sandwich",NA,"lmtest, foreach",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"gam","gam","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.20",NA,"R (>= 3.5.0),stats, splines, foreach",NA,NA,"akima, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"gamlss","gamlss","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","5.3-1",NA,"R (>= 3.3.0), graphics, stats, splines, utils, grDevices,
gamlss.data (>= 5.0-0), gamlss.dist (>= 4.3.1), nlme, parallel","MASS, survival, methods",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.4"
"gamlss.data","gamlss.data","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","5.1-4",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"gamlss.dist","gamlss.dist","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","5.3-2",NA,"R (>= 2.15.0), MASS, graphics, stats, methods, grDevices",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.4"
"gamm4","gamm4","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2-6",NA,"R (>= 2.9.0), methods, Matrix, lme4 (>= 1.0), mgcv (>= 1.7-23)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"gapminder","gapminder","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.3.0",NA,"R (>= 3.1.0)","tibble",NA,"dplyr, ggplot2, testthat",NA,"CC0",NA,NA,NA,NA,"no","4.0.3"
"gargle","gargle","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.0",NA,"R (>= 3.2)","fs (>= 1.3.1), glue (>= 1.3.0), httr (>= 1.4.0), jsonlite,
rlang (>= 0.4.2), stats, withr",NA,"covr, knitr, rmarkdown, sodium, spelling, testthat (>= 2.3.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.4"
"gbRd","gbRd","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.4-11",NA,"tools",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.3"
"gclus","gclus","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.3.2",NA,"R (>= 2.10), cluster",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"gdata","gdata","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.18.0",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"gdtools","gdtools","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.3",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"geepack","geepack","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.3-2",NA,"R (>= 3.5.0), methods","MASS, broom, magrittr",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"gelnet","gelnet","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.1",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"genefilter","genefilter","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.72.0",NA,NA,"BiocGenerics (>= 0.31.2), AnnotationDbi, annotate, Biobase,
graphics, methods, stats, survival",NA,"class, hgu95av2.db, tkWidgets, ALL, ROC, DESeq, pasilla,
RColorBrewer, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"generics","generics","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 3.1)","methods",NA,"covr, pkgload, testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"GenomeInfoDb","GenomeInfoDb","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.26.2",NA,"R (>= 3.1), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"GenomeInfoDbData","GenomeInfoDbData","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.4",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"GenomicAlignments","GenomicAlignments","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.26.0",NA,"R (>= 3.5.0), methods, BiocGenerics (>= 0.15.3), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.41.5), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.55.7), Rsamtools (>= 1.31.2)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"GenomicFeatures","GenomicFeatures","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.42.1",NA,"BiocGenerics (>= 0.1.0), S4Vectors (>= 0.17.29), IRanges (>=
2.13.23), GenomeInfoDb (>= 1.25.7), GenomicRanges (>= 1.31.17),
AnnotationDbi (>= 1.41.4)","methods, utils, stats, tools, DBI, RSQLite (>= 2.0), RCurl,
XVector (>= 0.19.7), Biostrings (>= 2.47.6), rtracklayer (>=
1.39.7), biomaRt (>= 2.17.1), Biobase (>= 2.15.1)",NA,"RMariaDB, org.Mm.eg.db, org.Hs.eg.db, BSgenome,
BSgenome.Hsapiens.UCSC.hg19 (>= 1.3.17),
BSgenome.Celegans.UCSC.ce11, BSgenome.Dmelanogaster.UCSC.dm3
(>= 1.3.17), mirbase.db, FDb.UCSC.tRNAs,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Celegans.UCSC.ce11.ensGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene (>= 2.7.1),
TxDb.Mmusculus.UCSC.mm10.knownGene (>= 3.4.7),
TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,
TxDb.Hsapiens.UCSC.hg38.knownGene (>= 3.4.6),
SNPlocs.Hsapiens.dbSNP144.GRCh38, Rsamtools, pasillaBamSubset
(>= 0.0.5), GenomicAlignments (>= 1.15.7), ensembldb, RUnit,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"GenomicRanges","GenomicRanges","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.42.0",NA,"R (>= 2.10), methods, stats4, BiocGenerics (>= 0.25.3),
S4Vectors (>= 0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGG.db, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"geofacet","geofacet","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.0",NA,"R (>= 3.2)","ggplot2 (>= 3.2.1), gtable, graphics, rnaturalearth, sp, sf,
ggrepel, imguR, gridExtra, geogrid, methods",NA,"testthat, covr, lintr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"geogrid","geogrid","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.1",NA,NA,"methods, sp, sf, rgeos, Rcpp","Rcpp, RcppArmadillo","testthat, lintr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"GEOquery","GEOquery","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.58.0",NA,"methods, Biobase","httr, readr (>= 1.3.1), xml2, dplyr, tidyr, magrittr, limma",NA,"knitr, rmarkdown, BiocGenerics, testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"geosphere","geosphere","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.5-10",NA,"R (>= 3.0.0)","sp",NA,"methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"gert","gert","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.0",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"getable","getable","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.3",NA,"R (>= 3.4.0)","knitr",NA,"jsonlite, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"getPass","getPass","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2-2",NA,"R (>= 3.0.0)","utils, rstudioapi (>= 0.5)",NA,"argon2",NA,"BSD 2-clause License + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"gets","gets","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.27",NA,"R (>= 3.3.0), zoo, parallel",NA,NA,"lgarch, xtable, Matrix, microbenchmark",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"gfer","gfer","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.10",NA,"R (>= 2.10)","rvest, xml2, jsonlite, httr, stringi, V8, data.table, tidyr,
scatterpie, ggplot2, ggrepel, circlize, googlesheets, gsheet",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"ggalluvial","ggalluvial","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.12.3",NA,"R (>= 3.5), ggplot2 (>= 2.2)","stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect",NA,"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"GGally","GGally","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.1.1",NA,"R (>= 3.1), ggplot2 (>= 3.3.0)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.12.0), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.0.4"
"ggalt","ggalt","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.6.2",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, plyr, dplyr, RColorBrewer,
KernSmooth, proj4, scales, grid, gtable, ash, maps, MASS,
extrafont, tibble, plotly (>= 3.4.1)",NA,"testthat, gridExtra, knitr, rmarkdown, ggthemes, reshape2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"gganimate","gganimate","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.7",NA,"ggplot2 (>= 3.0.0)","stringi, tweenr (>= 1.0.1), grid, rlang, glue, progress, plyr,
scales, grDevices, utils",NA,"magick, svglite, knitr, rmarkdown, testthat, base64enc,
htmltools, covr, transformr, av, gifski, ragg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggcorrplot","ggcorrplot","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.3",NA,"ggplot2","reshape2, stats",NA,"knitr, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"ggdendro","ggdendro","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.22",NA,NA,"MASS, ggplot2(>= 0.9.2)",NA,"rpart (>= 4.0-0), tree, testthat, knitr, cluster, scales,
spelling, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"ggeasy","ggeasy","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.3",NA,NA,"ggplot2, rlang",NA,"knitr, rmarkdown, testthat (>= 2.1.0), clipr, labelled,
patchwork, vdiffr, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
